Total words = 151
19:	only
17:	loving,
13:	i'm
12:	to
12:	my
9:	loving
9:	the
8:	trying
7:	is
7:	love
6:	you
6:	me
6:	yes
5:	your
5:	i
4:	darkness
4:	a
4:	but
4:	shining
4:	say
3:	in
3:	it
3:	i've
3:	god
3:	and
3:	with
3:	swear
2:	ya
2:	when
2:	wanna
2:	dividing
2:	be
2:	truth.
2:	out
2:	into
2:	are
2:	get
2:	ain't
2:	all
2:	no
2:	you're
2:	every
2:	on
1:	undermining
1:	been
1:	shadow
1:	about
1:	what's
1:	building
1:	put
1:	come,
1:	homie
1:	blood,
1:	rattled
1:	let
1:	because
1:	lonely
1:	if
1:	yes,
1:	lenses
1:	myself
1:	numbered
1:	troath
1:	cattle
1:	then
1:	doors
1:	million
1:	(yeah)
1:	turning
1:	everything's
1:	comes
1:	secret
1:	seen
1:	world
1:	defense
1:	kinda
1:	have
1:	'faker'
1:	grown
1:	stand
1:	can't
1:	mine
1:	mind
1:	chin
1:	loving.
1:	lover
1:	digging
1:	enemies
1:	battle
1:	pull
1:	slit
1:	future
1:	calling
1:	yours
1:	before
1:	tell
1:	feel
1:	lie
1:	tilt
1:	inside
1:	that
1:	shook
1:	dying
1:	leave
1:	til
1:	from
1:	up
1:	different
1:	day
1:	which
1:	it's
1:	this
1:	feeling
1:	secrets
1:	defenses
1:	gone
1:	never
1:	take
1:	back,
1:	know
1:	since
1:	little
1:	behind
1:	some
1:	doing
1:	line
1:	senseless
1:	back
1:	dumb
1:	faith
1:	that's
1:	trick
1:	blinding
1:	teachers
1:	now
1:	of
1:	this,
1:	bath
1:	trenches
1:	pain
1:	or
1:	choosen
1:	light's
1:	i'll
1:	way
1:	figther
1:	horizon
1:	truth
1:	what
1:	front
1:	fence
